B2,B3,B4,B8,B11,B12,NDVI,NDMI,longitude,latitude,geology_favorability
1537.0,2167.0,2894.0,3719.5,5538.0,5270.0,0.12482044,-0.19643532,79.66807911895229,21.579958575818026,0.5284195494657087
1548.5,2166.5,2906.0,3747.5,5692.5,5388.0,0.12647478,-0.20603813,79.66825878200912,21.579958575818026,0.5287722458607726
1556.0,2151.0,2826.0,3608.5,5632.5,5293.5,0.12161007,-0.21902391,79.66843844506593,21.579958575818026,0.5291249422558086
1470.0,2046.0,2725.5,3444.5,5531.0,5126.0,0.1165316,-0.23246616,79.66861810812276,21.579958575818026,0.5294776386508726
1593.0,2197.5,2863.5,3676.0,5370.5,5011.5,0.12424497,-0.18731001,79.66879777117958,21.579958575818026,0.5298303350459365
1546.5,2153.5,2812.0,3650.5,5145.0,4910.0,0.12974855,-0.16991644,79.66897743423641,21.579958575818026,0.5301830314410004
1546.5,2153.5,2812.0,3650.5,5145.0,4910.0,0.12974855,-0.16991644,79.66915709729324,21.579958575818026,0.5305357278360643
1581.0,2202.0,2844.5,3641.5,4704.5,4493.0,0.12288005,-0.12736641,79.66933676035005,21.579958575818026,0.5308884242311005
1334.5,1891.0,2400.0,3243.0,4308.5,4051.0,0.14938863,-0.1410978,79.66951642340688,21.579958575818026,0.5312411206261644
1358.5,1865.5,2418.5,3244.0,4328.0,3997.5,0.14578366,-0.143159,79.6696960864637,21.579958575818026,0.5315938170212282
1538.0,2129.5,2724.0,3558.5,4151.0,3929.5,0.1328293,-0.07685323,79.66987574952053,21.579958575818026,0.5319465134162922
983.5,1364.0,1674.5,2311.0,2696.5,2432.0,0.15970393,-0.076984525,79.67005541257736,21.579958575818026,0.5322992098113561
819.5,1096.5,1256.0,1618.5,1378.0,1125.5,0.12610888,0.08026031,79.67023507563418,21.579958575818026,0.53265190620642
583.0,759.0,772.5,812.5,723.0,572.5,0.025236594,0.058287203,79.670414738691,21.579958575818026,0.5330046026014561
634.0,839.5,893.5,1071.5,1319.0,1044.0,0.09058524,-0.103534825,79.67059440174782,21.579958575818026,0.5333572989965201
1040.5,1449.5,1792.0,2462.5,2686.5,2284.0,0.15759784,-0.043503594,79.67077406480465,21.579958575818026,0.533709995391584
871.0,1195.0,1476.0,2021.5,2633.5,2292.5,0.15596855,-0.13147153,79.67095372786147,21.579958575818026,0.534062691786648
916.5,1200.0,1466.0,2268.5,2998.5,2610.5,0.2148882,-0.13859883,79.6711333909183,21.579958575818026,0.5344153881817119
1170.0,1634.0,2090.5,3234.5,4236.5,3816.5,0.21483567,-0.13411859,79.67131305397511,21.579958575818026,0.534768084576748
934.0,1302.0,1606.5,2893.5,3774.0,3200.5,0.286,-0.13205849,79.67149271703194,21.579958575818026,0.5351207809718118
934.0,1302.0,1606.5,2893.5,3774.0,3200.5,0.286,-0.13205849,79.67167238008876,21.579958575818026,0.5354734773668758
748.5,1024.5,1165.5,2481.0,2749.5,2070.0,0.3607569,-0.051333524,79.67185204314559,21.579958575818026,0.5358261737619396
717.5,959.5,1073.5,1941.5,2250.5,1697.5,0.28789386,-0.073711835,79.67203170620242,21.579958575818026,0.5361788701570036
820.0,1097.0,1272.5,1895.5,2473.0,1996.5,0.19665404,-0.13219641,79.67221136925924,21.579958575818026,0.5365315665520676
1024.5,1413.5,1805.5,2859.5,3550.0,3009.5,0.22593783,-0.10773071,79.67239103231606,21.579958575818026,0.5368842629471036
1078.5,1492.5,1915.0,3205.5,3966.5,3231.5,0.25202617,-0.106107086,79.67257069537288,21.579958575818026,0.5372369593421675
918.0,1249.0,1596.0,2972.0,3609.5,2778.5,0.30122593,-0.09686242,79.67275035842971,21.579958575818026,0.5375896557372315
701.0,970.5,1066.0,2678.5,2785.0,1983.0,0.4306316,-0.019492999,79.67293002148654,21.579958575818026,0.5379423521322954
566.5,806.5,844.5,2528.5,2373.5,1518.0,0.49925882,0.031619746,79.67310968454336,21.579958575818026,0.5382950485273593
709.0,957.5,1161.5,2583.0,2501.0,1609.5,0.37962344,0.016129032,79.67328934760017,21.579958575818026,0.5386477449223953
529.5,803.5,773.0,2487.0,2128.5,1291.0,0.52576685,0.077673055,79.673469010657,21.579958575818026,0.5390004413174593
529.0,799.5,780.5,2464.5,2042.5,1187.0,0.51895225,0.093632124,79.67364867371383,21.579958575818026,0.5393531377125232
510.5,717.5,736.0,2379.0,2079.0,1203.5,0.5274478,0.067294754,79.67382833677065,21.579958575818026,0.5397058341075871
505.5,745.0,768.0,2622.5,2063.5,1171.5,0.5469695,0.11929151,79.67400799982748,21.579958575818026,0.5400585305026511
462.0,662.5,646.0,2246.5,1890.5,1064.0,0.55332756,0.08605269,79.67418766288431,21.579958575818026,0.540411226897715
462.0,662.5,646.0,2246.5,1890.5,1064.0,0.55332756,0.08605269,79.67436732594112,21.579958575818026,0.540763923292751
528.0,738.5,745.0,2411.0,1955.5,1117.0,0.5278834,0.10431696,79.67454698899795,21.579958575818026,0.541116619687815
545.5,768.0,796.0,2350.5,2112.5,1283.5,0.494041,0.05332736,79.67472665205477,21.579958575818026,0.541469316082879
596.0,796.0,883.0,1961.5,2407.0,1907.0,0.37915275,-0.10198008,79.6749063151116,21.579958575818026,0.5418220124779429
593.0,790.0,826.5,1599.0,2338.5,2168.5,0.31849104,-0.18780953,79.67508597816843,21.579958575818026,0.5421747088730068
698.0,946.0,1166.5,2034.5,2664.5,2182.5,0.27116525,-0.13407108,79.67526564122524,21.579958575818026,0.5425274052680429
547.0,780.5,909.0,2468.5,2657.0,1863.5,0.46173206,-0.0367769,79.67544530428206,21.579958575818026,0.5428801016631067
531.5,743.0,912.0,2232.0,2615.5,1755.5,0.41984734,-0.07911295,79.67562496733889,21.579958575818026,0.5432327980581707
554.0,783.0,912.0,2544.5,2433.5,1617.5,0.47229856,0.022298113,79.67580463039572,21.579958575818026,0.5435854944532346
607.5,852.5,920.0,2609.5,2324.0,1467.5,0.4786797,0.057869665,79.67598429345254,21.579958575818026,0.5439381908482985
587.5,878.5,989.5,3015.5,2651.0,1684.5,0.50586766,0.06432542,79.67616395650937,21.579958575818026,0.5442908872433625
485.5,690.0,791.0,2373.0,2377.0,1479.5,0.5,-0.00084210525,79.67634361956618,21.579958575818026,0.5446435836383985
446.0,642.5,674.0,2320.0,2128.5,1252.5,0.5497662,0.043048218,79.67652328262301,21.579958575818026,0.5449962800334625
533.0,772.0,830.0,2302.5,2137.5,1324.5,0.47007182,0.037162162,79.67670294567984,21.579958575818026,0.5453489764285264
533.0,772.0,830.0,2302.5,2137.5,1324.5,0.47007182,0.037162162,79.67688260873666,21.579958575818026,0.5457016728235903
537.0,762.0,836.0,2251.0,2264.5,1483.0,0.4583738,-0.0029897022,79.67706227179349,21.579958575818026,0.5460543692186542
589.0,813.0,1006.5,2286.5,2411.5,1760.5,0.38870332,-0.026607066,79.6772419348503,21.579958575818026,0.5464070656136903
644.0,821.5,1009.0,2159.0,2189.0,1747.0,0.36300504,-0.006899724,79.67742159790713,21.579958575818026,0.5467597620087542
561.0,730.5,822.5,1881.5,2204.5,1743.0,0.391642,-0.079050414,79.67760126096395,21.579958575818026,0.5471124584038182
690.5,965.5,1286.0,2574.5,2906.5,2209.5,0.33376506,-0.06057289,79.67778092402078,21.579958575818026,0.547465154798882
692.5,954.0,1288.5,2545.0,3211.0,2323.5,0.32776836,-0.11570535,79.6779605870776,21.579958575818026,0.547817851193946
619.0,786.5,995.5,2015.0,2650.0,1901.0,0.33864805,-0.13612004,79.67814025013443,21.579958575818026,0.5479379586021832
514.5,704.0,745.0,2272.0,2158.5,1443.5,0.50613195,0.025617875,79.67831991319125,21.579958575818026,0.5436338724867401
493.5,692.5,649.5,2163.0,1962.5,1185.0,0.5381333,0.04860017,79.67849957624807,21.579958575818026,0.5393297863709565
551.0,790.5,781.5,2446.0,2311.0,1496.5,0.51572424,0.02837923,79.6786792393049,21.579958575818026,0.535025700255173
708.0,968.0,1162.0,2167.0,2876.5,2249.0,0.30189246,-0.14067611,79.67885890236172,21.579958575818026,0.5307216141393896
779.5,1034.0,1269.0,1991.5,3033.0,2700.5,0.22159179,-0.2072843,79.67903856541855,21.579958575818026,0.5264175280236061
644.0,935.5,1046.0,2161.5,2685.0,2111.5,0.34777865,-0.108016096,79.67921822847536,21.579958575818026,0.522113441908163
644.0,935.5,1046.0,2161.5,2685.0,2111.5,0.34777865,-0.108016096,79.67939789153219,21.579958575818026,0.5178093557923794
553.0,792.5,847.0,2196.0,2231.0,1385.5,0.44331253,-0.007906031,79.67957755458902,21.579958575818026,0.5135052696765959
553.0,844.5,828.5,2305.0,2131.0,1247.0,0.47119835,0.039224528,79.67975721764584,21.579958575818026,0.5092011835608125
570.0,841.0,761.5,2440.5,2100.5,1278.5,0.52435976,0.07487337,79.67993688070267,21.579958575818026,0.5048970974450289
633.0,920.0,1025.0,2322.0,2717.0,1971.0,0.3875112,-0.07838857,79.6801165437595,21.579958575818026,0.5005930113292454
762.5,1000.5,1223.0,2297.0,3060.5,2496.5,0.30511364,-0.1425105,79.68029620681631,21.579958575818026,0.4962889252138023
719.5,956.5,1101.0,2435.5,2927.0,2290.0,0.37735048,-0.09165501,79.68047586987313,21.579958575818026,0.4919848390980188
767.5,1036.5,1452.0,2487.0,3233.0,2230.0,0.26275703,-0.13041958,79.68065553292996,21.579958575818026,0.4876807529822353
662.5,912.5,1141.0,2663.0,2810.5,1803.0,0.40010515,-0.026948022,79.68083519598679,21.579958575818026,0.48337666686645175
613.0,878.0,977.5,2531.5,2266.5,1399.0,0.4428612,0.055231348,79.68101485904361,21.579958575818026,0.4790725807506682
518.5,750.5,708.0,2377.0,2009.5,1169.0,0.54100484,0.08377978,79.68119452210043,21.579958575818026,0.47476849463522514
637.0,916.0,884.0,2787.5,2308.0,1460.0,0.51845294,0.094102636,79.68137418515725,21.579958575818026,0.4704644085194416
633.5,924.5,884.0,2774.5,2541.5,1678.5,0.5167418,0.043829948,79.68155384821408,21.579958575818026,0.4661603224036581
635.0,911.0,888.5,2793.0,2290.5,1408.0,0.5173163,0.098849215,79.6817335112709,21.579958575818026,0.4618562362878746
620.5,914.5,948.5,2679.5,2185.5,1331.0,0.4771224,0.10154162,79.68191317432773,21.579958575818026,0.45755215017209105
620.5,914.5,948.5,2679.5,2185.5,1331.0,0.4771224,0.10154162,79.68209283738456,21.579958575818026,0.4532480640563075
740.0,1026.0,1226.5,2613.0,2515.0,1582.0,0.36111474,0.019110765,79.68227250044137,21.579958575818026,0.4489439779408645
775.5,1028.0,1326.5,2615.0,2617.5,1742.0,0.326906,-0.0004777831,79.6824521634982,21.579958575818026,0.4446398918250809
579.5,864.5,954.5,2308.5,2201.5,1442.5,0.41495556,0.023725055,79.68263182655502,21.579958575818026,0.4403358057092974
592.0,829.5,865.0,2350.5,2421.0,1700.0,0.46198103,-0.014775228,79.68281148961185,21.579958575818026,0.43603171959351394
639.0,924.5,1102.5,2528.0,3033.5,2383.5,0.39264563,-0.09089275,79.68299115266868,21.579958575818026,0.43172763347773047
943.0,1284.5,1692.0,2737.5,3774.5,3255.5,0.23603116,-0.15924448,79.68317081572549,21.579958575818026,0.4274235473622874
1279.5,1792.5,2330.0,3305.0,4431.0,4026.5,0.17302573,-0.14555326,79.68335047878232,21.579958575818026,0.4231194612465038
1482.0,2072.5,2731.5,3654.0,5041.0,4767.0,0.14446793,-0.15951696,79.68353014183914,21.579958575818026,0.4188153751307203
1640.5,2307.5,3067.0,3935.5,5425.5,5165.5,0.12402713,-0.15917103,79.68370980489597,21.579958575818026,0.4145112890149368
1642.0,2272.0,3060.5,3937.0,5610.5,5356.5,0.12525903,-0.17528148,79.6838894679528,21.579958575818026,0.41020720289915324
1682.0,2332.0,3125.0,4015.5,5759.5,5506.0,0.124711156,-0.17841431,79.68406913100962,21.579958575818026,0.40590311678336977
1742.0,2401.0,3231.0,4134.5,5885.5,5579.5,0.122666486,-0.17475049,79.68424879406643,21.579958575818026,0.4020008049108547
1754.5,2438.5,3264.0,4153.5,5888.0,5583.5,0.119919114,-0.17273316,79.68442845712326,21.579958575818026,0.4007599667915539
1754.5,2438.5,3264.0,4153.5,5888.0,5583.5,0.119919114,-0.17273316,79.68460812018009,21.579958575818026,0.3995191286722529
1769.5,2456.0,3290.5,4154.5,5816.0,5526.0,0.11605104,-0.1666416,79.68478778323691,21.579958575818026,0.39827829055295205
1730.0,2403.0,3188.0,4113.5,5707.5,5433.0,0.12675478,-0.16230527,79.68496744629374,21.579958575818026,0.3970374524336512
1681.5,2318.0,3075.5,4015.5,5443.5,5082.5,0.1325624,-0.15096733,79.68514710935055,21.579958575818026,0.39579661431444846
1564.0,2098.5,2700.5,3682.0,4816.0,4478.5,0.15377986,-0.13344316,79.68532677240738,21.579958575818026,0.3945557761951476
1246.5,1784.5,2282.5,3194.5,3989.5,3420.0,0.16651452,-0.11066259,79.6855064354642,21.579958575818026,0.3933149380758467
905.5,1362.5,1604.0,2519.0,2941.5,2384.5,0.22192578,-0.07737387,79.68568609852103,21.579958575818026,0.39207409995654585
867.0,1270.0,1482.0,2311.0,2498.5,1946.0,0.2185605,-0.03898534,79.68586576157786,21.579958575818026,0.390833261837245
858.5,1276.0,1497.5,2286.5,2472.5,1912.0,0.20850952,-0.039083842,79.68604542463468,21.579958575818026,0.38959242371794406
665.5,969.5,1067.0,1904.0,1964.5,1496.5,0.28172332,-0.015639137,79.6862250876915,21.579958575818026,0.38835158559874133
707.5,1032.5,1197.5,1927.5,2055.0,1607.5,0.2336,-0.032015067,79.68640475074832,21.579958575818026,0.38711074747944046
952.0,1337.0,1621.5,2431.5,2977.0,2538.5,0.19985196,-0.10085976,79.68658441380515,21.579958575818026,0.3858699093601396
1216.5,1661.5,2118.5,2870.5,3577.0,3155.0,0.15073161,-0.10957736,79.68676407686198,21.579958575818026,0.38462907124083867
1232.5,1743.5,2270.0,2999.5,3673.0,3316.0,0.13843818,-0.10093668,79.6869437399188,21.579958575818026,0.3833882331215378
1232.5,1743.5,2270.0,2999.5,3673.0,3316.0,0.13843818,-0.10093668,79.68712340297562,21.579958575818026,0.3821473950023351
1057.5,1503.0,1929.0,2577.0,3019.5,2686.0,0.14380826,-0.079067275,79.68730306603244,21.579958575818026,0.38090655688303415
684.5,935.0,1131.5,1611.5,2029.0,1687.5,0.17499089,-0.11468205,79.68748272908927,21.579958575818026,0.38793458499815314
637.5,859.0,999.5,1295.0,1723.0,1511.5,0.12878622,-0.14181577,79.6876623921461,21.579958575818026,0.4003390374868039
601.0,825.0,925.5,1127.5,1606.0,1379.5,0.0983926,-0.1750503,79.68784205520292,21.579958575818026,0.4127434899754545
658.0,891.0,995.0,1338.5,1677.5,1347.0,0.14720377,-0.11240053,79.68802171825975,21.579958575818026,0.42401773820043737
847.0,1125.5,1378.0,1828.0,2333.0,1918.5,0.14036182,-0.121365055,79.68820138131656,21.579958575818026,0.417094224634466
1159.0,1573.0,1992.5,2651.5,3581.0,3209.0,0.14190353,-0.14913759,79.68838104437339,21.579958575818026,0.41017071106794706
1385.5,1900.0,2450.5,3229.0,4279.0,4024.0,0.13707192,-0.13985083,79.68856070743021,21.579958575818026,0.39484284852806
1240.5,1679.5,2136.0,2818.5,3534.5,3303.5,0.13775356,-0.11270266,79.68874037048704,21.579958575818026,0.3923113743666284
705.5,901.0,1075.5,1394.0,2039.0,1784.0,0.12897347,-0.18788232,79.68892003354387,21.579958575818026,0.3854966218496715
479.0,562.0,571.5,746.0,991.5,754.5,0.13244782,-0.14129497,79.68909969660068,21.579958575818026,0.3905879711377106
528.0,686.0,744.0,1095.5,1361.5,1017.5,0.19108453,-0.10826211,79.6892793596575,21.579958575818026,0.39567932042615256
726.5,1009.0,1183.0,1999.5,2112.5,1652.5,0.2565593,-0.027480545,79.68945902271433,21.579958575818026,0.4007706697145944
587.0,782.0,857.5,1981.0,2146.5,1594.5,0.39580765,-0.040096913,79.68963868577116,21.579958575818026,0.4036772782841186
587.0,782.0,857.5,1981.0,2146.5,1594.5,0.39580765,-0.040096913,79.68981834882798,21.579958575818026,0.4055494473812114
538.0,733.5,775.0,2240.0,2146.5,1488.5,0.4859038,0.0213154,79.68999801188481,21.579958575818026,0.4074216164783042
607.5,812.5,929.0,2444.5,2409.5,1795.0,0.4492367,0.007210548,79.69017767494162,21.579958575818026,0.40929378557524904
698.0,969.0,1185.5,2238.5,2859.5,2177.0,0.30753505,-0.12181248,79.69035733799845,21.579958575818026,0.41116595467234185
660.0,915.0,1072.5,2111.0,2722.0,2003.5,0.3262133,-0.12642251,79.69053700105528,21.579958575818026,0.4130381237694347
658.5,938.0,1033.5,2029.5,2744.5,2028.0,0.3251714,-0.14976959,79.6907166641121,21.579958575818026,0.4149102928665276
667.5,902.0,999.5,1820.0,2695.5,2149.5,0.29100904,-0.19388773,79.69089632716893,21.579958575818026,0.4167824619636204
646.0,861.0,1039.5,1932.5,2622.0,1990.0,0.30047107,-0.15138873,79.69107599022574,21.579958575818026,0.41865463106056516
685.5,898.5,1063.0,2117.5,2674.5,1977.5,0.33155164,-0.11623539,79.69125565328257,21.579958575818026,0.420526800157658
679.5,889.5,1096.5,1803.0,2689.5,2091.5,0.2436627,-0.19732888,79.6914353163394,21.579958575818026,0.4223989692547509
788.5,1024.0,1268.0,2286.0,2885.5,2162.0,0.2864378,-0.115923814,79.69161497939622,21.579958575818026,0.42427113835184366
688.0,954.5,1149.0,1792.0,2627.0,2079.0,0.21863312,-0.18895678,79.69179464245305,21.579958575818026,0.4261433074489366
686.0,937.5,1064.5,1736.5,2538.0,2006.5,0.23991431,-0.18750732,79.69197430550987,21.579958575818026,0.42801547654602934
613.0,827.5,966.5,2066.5,2520.5,1830.5,0.36267722,-0.09897537,79.69215396856669,21.579958575818026,0.42345319361629175
613.0,827.5,966.5,2066.5,2520.5,1830.5,0.36267722,-0.09897537,79.69233363162351,21.579958575818026,0.41380721031141166
595.0,788.0,902.0,2075.0,2610.0,1917.5,0.39402083,-0.11419424,79.69251329468034,21.579958575818026,0.4041612270065314
753.0,989.5,1218.5,2189.5,2974.0,2287.5,0.28491783,-0.15193182,79.69269295773717,21.579958575818026,0.4123848868388931
784.0,1002.0,1221.5,2133.0,2965.5,2347.0,0.27172455,-0.16328332,79.69287262079399,21.579958575818026,0.4610156001692257
747.0,977.0,1135.5,2063.0,2776.0,2197.0,0.28997967,-0.1473445,79.69305228385082,21.579958575818026,0.4454148911802686
659.5,900.0,1062.0,2004.0,2697.0,2066.5,0.3072407,-0.14741544,79.69323194690763,21.579958575818026,0.4455706375520516
585.0,777.5,885.5,2148.5,2588.0,1810.0,0.41628215,-0.09279004,79.69341160996446,21.579958575818026,0.4411987327659672
653.5,908.5,1187.5,2506.5,3040.5,2080.5,0.3570655,-0.09626825,79.69359127302128,21.579958575818026,0.43682682797988276
790.0,1129.5,1450.5,2589.5,3051.5,2131.5,0.28193069,-0.08190037,79.69377093607811,21.579958575818026,0.43245492319379825
607.5,839.5,1009.0,1973.0,2535.0,1755.5,0.32327297,-0.12466726,79.69395059913494,21.579958575818026,0.4280830184077137
656.0,890.5,1056.5,2185.5,2568.0,1786.5,0.34824184,-0.08046702,79.69413026219175,21.579958575818026,0.42371111362197517
772.5,1078.5,1331.5,2468.5,2838.5,2007.5,0.29921052,-0.06971924,79.69430992524858,21.579958575818026,0.4193392088358906
743.0,984.0,1201.5,2258.0,2990.0,2185.5,0.30539095,-0.13948171,79.6944895883054,21.579958575818026,0.4149673040498061
712.0,975.0,1162.0,2138.5,2722.0,2015.0,0.29586425,-0.12004938,79.69466925136223,21.579958575818026,0.4105953992637217
712.0,975.0,1162.0,2138.5,2722.0,2015.0,0.29586425,-0.12004938,79.69484891441905,21.579958575818026,0.40622349447763717
677.0,895.0,1048.0,2321.0,2753.5,1973.5,0.37785694,-0.085230075,79.69502857747588,21.579958575818026,0.40185158969155266
941.0,1256.5,1601.0,2803.5,3430.5,2568.5,0.27301624,-0.10057748,79.6952082405327,21.579958575818026,0.3974796849058141
897.5,1177.0,1508.5,2626.0,3343.0,2544.0,0.27028662,-0.12012062,79.69538790358952,21.579958575818026,0.3931077801197295
728.0,965.5,1112.0,2370.0,2875.0,2156.5,0.3612866,-0.09628218,79.69556756664635,21.579958575818026,0.388735875333645
772.0,1042.5,1194.5,2574.5,2829.0,2123.0,0.36614487,-0.047099102,79.69574722970317,21.579958575818026,0.3931995148587286
647.5,887.5,942.5,2481.5,2485.5,1717.5,0.4494743,-0.0008053151,79.69592689276,21.579958575818026,0.3823995747032379
595.0,806.0,855.5,2500.5,2225.0,1395.0,0.49016687,0.058300707,79.69610655581681,21.579958575818026,0.39132746072882135
617.5,893.0,948.5,2475.5,2404.0,1525.0,0.4459696,0.014653141,79.69628621887364,21.579958575818026,0.4002932168074082
603.0,879.5,882.5,2647.0,2496.0,1596.0,0.49992916,0.029360296,79.69646588193046,21.579958575818026,0.40729534030366665
856.5,1131.5,1398.5,2573.0,3333.5,2519.5,0.29573208,-0.12875645,79.69664554498729,21.579958575818026,0.413823336242017
746.5,1018.0,1244.5,2061.5,3064.0,2450.5,0.24712643,-0.19559067,79.69682520804412,21.579958575818026,0.4075194197702399
631.0,891.5,948.5,2173.5,2527.0,1813.0,0.3923767,-0.07520477,79.69700487110094,21.579958575818026,0.3942628447781044
660.5,943.5,988.5,2485.0,2589.5,1677.0,0.43083346,-0.020593163,79.69718453415776,21.579958575818026,0.38100626978701746
660.5,943.5,988.5,2485.0,2589.5,1677.0,0.43083346,-0.020593163,79.69736419721458,21.579958575818026,0.36774969479488195
709.5,1013.5,1082.5,2693.5,2712.5,1836.0,0.42664194,-0.0035146135,79.69754386027141,21.579958575818026,0.3544931198027464
615.5,887.0,859.0,2601.5,2434.5,1530.0,0.50354,0.033161238,79.69772352332824,21.579958575818026,0.36939579218836616
